Product ID,Product Name,Scientific Name,Category,Price (USD),Stock Quantity,Description,Usage,Region,Image URL
1,Tulsi,Ocinum Sanctum,Herbal Plant,100,57,"Boosts immunity ,reduce stress,treats cough","Tea,juice,paste",Pan-India,https://cdn.britannica.com/87/207887-050-F48CB55D/basil.jpg
2,Neem,Azadirachta indica,Herbal Plant,120,162,"Antibacterial,antifungal,skin disorders","Powder,oil,paste",Pan-India,https://resize.indiatv.in/resize/newbucket/1200_-/2023/04/collage-maker-04-apr-2023-10-46-pm-5655-1680628624.jpg
3,Ashwagandha(Withania),Withania somnifera,Herbal Plant,350,65,"Reduces sterss,improves energy,enhance vitality","powder,capsules",Indian suncontinent,https://media.istockphoto.com/id/1347520867/photo/fresh-fruits-of-withania-somnifera-or-ashwgandha-medicinal-plant-withania-somnifera-plant.jpg?s=612x612&w=0&k=20&c=01_pXhEPKXfodcSw8Y8S-8idNnWB7LNZWsuaK84p4v4=
4,AloeVera,Aloe barbadensis,Herbal Plant,80,152,"Heals wounds,relieves skin inflammation","gel,cream",Pan-India,https://www.epicgardening.com/wp-content/uploads/2023/09/Aloe-Vera.jpg
5,Ginger,Zingiber officinale,Herbal Plant,60,180,"Improves digestion,anti-inflammatory,terats nausea","Tea,Tincture",Tropical India,https://cdn.britannica.com/19/231119-050-35483892/Indian-ginger-Zingiber-officinale.jpg
6,Guduchi,Tinospora cordifolia,Herbal Plant,250,155,"Boosts immunity ,reduce fever,improve lever function","Powder,capsules,juice",Indian suncontinent,https://upload.wikimedia.org/wikipedia/commons/0/0e/Tinospora_cordifolia.jpg
7,Brahmi,Bacopa monnieri,Herbal Plant,150,59,"improves memory,reduces anxiety,enhance cognition","Tea,capsules,paste",Wetlands of India,"https://m.media-amazon.com/images/I/51EEdmKZesL._AC_UF1000,1000_QL80_.jpg"
8,Kesar(Saffron),Crocus sativus,Herbal Plant,400,40,"Antidepressant,antioxidant,improves mood ","Tea,Milk,infusion",Himalaya region and Kashmir,https://timesofagriculture.in/wp-content/uploads/2023/12/jpeg-optimizer_Slide1-1.jpg
9,Indian Snake Root,Sarpagandha(Rauwolfia serpentina),Herbal Plant,250,136,"Treats hypertension,sedative,anti-psychotic","Powder,tablets",Himalaya region,https://www.jiomart.com//images/product/240x240/rvvcixaory/odiplantz-indian-snakeroot-live-plant-product-images-orvvcixaory-p598502594-0-202302180803.jpg
10,Triphala,"(combination of  Terminaliachebula,Terminalia bellerica & Phyllanthus emblica)",Herbal Plant,250,96,"Improve digestion,detoxifies,strengthens immunity","Powder,capsules",Pan-India,https://www.gaiaherbs.com/cdn/shop/files/amla-fuit-phyllanthus-emblica-alternate_402605eb-30cb-45e0-96da-94a53a2ea140.jpg?v=1727307610
11,Baheda,Terminalia bellrica,Herbal Plant,100,51,"Treats respiratory diseases,improve digestion","Powder,capsules",Pan-India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrwEE0FFkEwZms66I0NWJGcm3FsIkA-Da_Rw&s
12,Amla,Phyllanthus emblica,Herbal Plant,80,37,"High in Vitamin C,boosts imunity,improves digestion","Juice,powder",Pan-India,https://plantsguru.com/cdn/shop/files/plantsguru-fruitplants-amla-small.jpg?v=1735618395
13,tamarind,Tamarindus indica,Herbal Plant,100,185,"Laxative,digestive aid,treas acidity","Juice,paste",Pan-India,"https://m.media-amazon.com/images/I/51VXQdzLaZL._AC_UF1000,1000_QL80_.jpg"
14,Nirgundi,Vitex negundo,Herbal Plant,250,61,"Anti-inflammatory,treats joint pain,reduces fever","Oil,paste",Pan-India,https://5.imimg.com/data5/SELLER/Default/2022/9/HM/XH/MG/131665697/nirgundi-plant-chinese-chastetree-plant-vitex-negundo-plant-five-leaved-chaste-tree.jpg
15,Haritaki,Terminalia chebula,Herbal Plant,180,139,"Detoxifies,aids digestion,improves skin health","powder,capsules",Pan-India,"https://m.media-amazon.com/images/I/51uRhb4PSpL._AC_UF1000,1000_QL80_.jpg"
16,Turmeric,Curcuma longa,Herbal Plant,120,43,"Anti-inflammatory,antioxidant,heals wounds ","Powder,paste,milk",Pan-India,https://i.ytimg.com/vi/IbYO8FYAZOQ/hqdefault.jpg
17,Bala,Sida cordifolia,Herbal Plant,250,197,"Boosts strength,relieves pain,treats asthma","Powder,Decoction","India, Shrilanka ","https://m.media-amazon.com/images/I/517-Y+v2dUL._AC_UF1000,1000_QL80_.jpg"
18,Shatavari,Asparagus racemosus,Herbal Plant,400,84,"Improves fertility,strengthens immunity","Powder,Capsules",Cenral &southern India,https://thaifoodmaster.com/wp-content/uploads/2022/01/Asparagus_racemosus_1-1024x536.jpg
19,Vanda,Vanda tessellata,Herbal Plant,400,50,"Treats cough,asthma,relieves mental stress","Decoction,juice",Pan-India,"https://m.media-amazon.com/images/I/61RGifSwXuL._AC_UF1000,1000_QL80_.jpg"
20,Sandalwood,Santalum album,Herbal Plant,900,182,"Soothes skin,relieves mental stress,anti-inflammatory","Oil,paste",Southern India,https://greenparadiselive.com/cdn/shop/files/red_sandalwoodpan_3.png?v=1729404927&width=1920
21,Sweet Flag,Acorus calamus,Herbal Plant,250,110,"Improve digestion,relieves cough,anti-spasmodic","Powder,Decoction",Wetlands of India,https://www.herbalplantslive.com/wp-content/uploads/2019/12/vasambu.1-e1589210439221.jpeg
22,Patharchur,Bryophyllum pinnatum,Herbal Plant,100,134,"Treats kidney stones,improve liver function","Juice,Decoction",Pan-India,https://trustherb.com/wp-content/uploads/2020/11/5-Amazing-Health-Benefits-of-Patharchatta..jpg
23,Flame of the forest,Butea monosperma,Herbal Plant,250,35,"Anti-inflammatory,treats wounds,skin disorders","Powder,oil",Central India,https://5.imimg.com/data5/SELLER/Default/2024/5/422406013/II/AV/VY/195984132/flower-flame-of-the-forest.jpeg
24,Hibiscus,Hibiscus rosa-sinensis,Herbal Plant,100,25,"Treats hair loss,improves skin health,anti-inflammatory","Juice,Oil,Paste",Pan-India,https://hgtvhome.sndimg.com/content/dam/images/hgtv/fullset/2018/5/23/0/shutterstock_211989697_topimages_chinese-hibiscus.jpg.rend.hgtvcom.1280.960.85.suffix/1527091860274.webp
